STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,JAN (Level m),FEB (Level m),MAR (Level m),APR (Level m),MAY (Level m),JUN (Level m),JUL (Level m),AUG (Level m),SEP (Level m),OCT (Level m),NOV (Level m),DEC (Level m),YEAR
PUNJAB,LUDHIANA,Hallawara-Pz-M,30.723333330433743,75.63999999964446,Manual,,,,27.26,27.26,,,31.55,,28.54,,26.86,2018
PUNJAB,MOGA,Datewal,30.929166669672373,75.11944444032831,Manual,,,,,,,,,,,,,2018
PUNJAB,HOSHIARPUR,HOSHIARPUR;HOSHIARPUR;HOSHIARPUR-I;BAGPUR;Govt.Sr.Sec. School,31.584722220304613,75.89444443953683,MANUAL,,,,,,,,,,,,,2018
PUNJAB,HOSHIARPUR,Grahaya-Pz,31.92222221970976,75.7708333304257,Manual,,,,,,,,,,25.5,,25.5,2018
PUNJAB,SANGRUR,Bhulan,29.76250000016395,76.0097222203145,Manual,,,,,,,,,,,,,2018
PUNJAB,KAPURTHALA,Chakoke-Pz,31.54111111031245,75.38055555992815,Manual,,,,,7.24,,,,7.24,7.59,,,2018
PUNJAB,LUDHIANA,PATIALA;SAMANA ;SAMANA;KAKRALA;Village Park,30.741666670133043,76.13277778051541,MANUAL,,,,,,,,,,,,,2018
PUNJAB,RUPNAGAR,Bains,31.133333329597225,76.52499999991355,Manual,,,,,17.6,,,,,16.6,,16.2,2018
PUNJAB,BARNALA,Ramgarh-Pz,30.516666669970466,75.39166667026421,Manual,,,,,22.95,,,,,,,,2018
PUNJAB,AMRITSAR,Mehta-Pz,31.666666669713216,75.24999999948422,Manual,,,,,14.3,,,,,14.5,,14.15,2018
PUNJAB,MANSA,Sangha-Pz,29.57861110965163,75.26388889042536,Manual,,,,,,,,,,,,,2018
PUNJAB,JALANDHAR,Beas Pind,31.45416667011408,75.62916666993056,Manual,,,,,,,,,,,,,2018
PUNJAB,TARN TARAN,Burjwal-Pz,31.550000000409767,74.7333333299753,Manual,,,,,,,,,,,,,2018
PUNJAB,FARIDKOT,Kingre,30.670833330089433,74.58333332964092,Manual,,,,,,,,,,,,,2018
PUNJAB,MOGA,Budh Singh Wala-Pz,30.61777777995832,75.0772222198318,Manual,,,,23.24,23.24,,,25.75,,25.75,,24.62,2018
PUNJAB,AMRITSAR,Kathu Nangal-pz dp-2,31.732499999782938,75.02305555990809,Manual,,,,,,,,,,11.1,,,2018
PUNJAB,BARNALA,Raisar-Pz,30.477777779886917,75.49583332975585,Manual,,,,,31.49,,,,,35.77,,,2018
PUNJAB,HOSHIARPUR,Barota-PZ,31.916666670272367,75.57944444032044,Manual,,,,,,,,,,,,3,2018
PUNJAB,HOSHIARPUR,Khera-Pz,31.337499999735417,75.983333329846,Manual,,,,,,,,,,45.3,,45,2018
PUNJAB,TARN TARAN,Bhikhiwind,31.341666670275092,74.69166666995822,Manual,,,,,,,,,,,,,2018
PUNJAB,SAHIBZADA AJIT SINGH NAGAR,Landran,30.690277780150193,76.67222221973103,Manual,,,,,,,,,,,,,2018
PUNJAB,MUKTSAR,Dahak-S,30.632500000445845,74.60083333003162,Manual,,,,,,,,,,,,,2018
PUNJAB,SAHIBZADA AJIT SINGH NAGAR,Antala,30.38333332965689,76.91666667019756,Manual,,,,4.66,4.66,,,3.94,,2.84,,3.19,2018
PUNJAB,BARNALA,Hadiaya,30.325000000144236,75.50833333020866,Manual,,,,,,,,,,,,,2018
PUNJAB,SANGRUR,Amargarh,30.45833333010099,76.01666666966678,Manual,,,,,,,,,,,,,2018
PUNJAB,FIROZPUR,Bannawala,30.28194443965099,74.02777777993398,Manual,,,,2.38,2.38,,,2.93,,3.17,,2.43,2018
PUNJAB,MOGA,Matwani,30.805555559634364,75.30972221971626,Manual,,,,,,,,,,,,,2018
PUNJAB,AMRITSAR,Nangal Sahaul-Pz,31.983333330107723,74.8666666705095,Manual,,,,,6.9,,,,,6.4,,6.3,2018
PUNJAB,LUDHIANA,Samrala 2(s),30.88333333022278,76.20000000039651,Manual,,,,14.94,14.94,,,15.34,,14.59,,14.32,2018
PUNJAB,MOGA,MOGA;DHARAMKOT;DHARAMKOT;KAMALKE;Govt. High School,30.97916666691655,75.28416666622991,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,JALANDHAR,Lallian kalan Pz-S,31.262500000051805,75.49166667016951,Manual,,,,36.59,36.59,,,34.02,,38.13,,37.46,2018
PUNJAB,LUDHIANA,LUDHIANA;Jagraon;SAMRALA;DOUDPUR;Govt. Middel School,30.73750000004205,76.18361111150348,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,SAHIBZADA AJIT SINGH NAGAR,Dera Bassi1,30.586111109836672,76.83833332968848,Manual,,,,,,,,,,,,,2018
