STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,MAY (Level m),AUG (Level m),YEAR
HARYANA,JIND,Kathana,29.533333329912658,76.38749999964034,Manual,5.03,1.96,1996
HARYANA,PANIPAT,Lohari (s),29.358333330261694,76.83888889033481,Manual,,,1996
HARYANA,KARNAL,Balhera (shallow),29.474999999584053,77.0874999999617,Manual,,,1996
HARYANA,MAHENDRAGARH,Khodana,28.408333329706842,76.12083333034576,Manual,18.81,20.39,1996
HARYANA,HISAR,Datta-DW,29.266666670347657,75.99722222010409,Manual,,,1996
HARYANA,JHAJJAR,Bahadurgarh,28.691666670181217,76.93333333028963,Manual,8.62,7.65,1996
HARYANA,FATEHABAD,Dhaulu,29.591666670116123,75.67916666994185,Manual,11.44,11.34,1996
HARYANA,KARNAL,Chorpur(shallow),29.78333333020587,77.11666667001569,Manual,,,1996
HARYANA,PANIPAT,Sewah(shallow),29.341666670299322,76.97916666976707,Manual,,,1996
HARYANA,FATEHABAD,Jagiwala-DW,29.266666670449816,75.23472222002734,Manual,,,1996
HARYANA,SIRSA,Sukhchain-DW,29.777777780398523,75.03611110988264,Manual,,,1996
HARYANA,AMBALA,Kapoori At Saphera-PZ,30.34055555965784,76.92833333039471,Manual,,,1996
HARYANA,SONIPAT,Juan-DW,29.062500000072326,76.90055555955526,Manual,,,1996
HARYANA,ROHTAK,Atail-DW,28.841666670390183,76.75194443983612,Manual,,,1996
HARYANA,KARNAL,Saunkra (deep),29.78472221975934,76.87999999960387,Manual,,,1996
HARYANA,KARNAL,Bala,29.502777780263337,76.72472222026705,Manual,,,1996
HARYANA,MAHENDRAGARH,Khatodra-Pz,28.274999999813662,76.07083332963407,Manual,,,1996
HARYANA,PANCHKULA,Ramgarh-DW,30.649999999558148,76.88333333052596,Manual,,,1996
HARYANA,SONIPAT,BOREWELL IN FRONT OF CETP HSIIDC RAI SONEPAT,28.92925600040836,77.08373499977463,MANUAL,,,1996
HARYANA,BHIWANI,Tosham,28.874999999573106,75.91666666992386,Manual,6.71,5.41,1996
HARYANA,SONIPAT,Barauli-Pz,29.01944444018436,77.02944444001021,Manual,,,1996
HARYANA,PANIPAT,Untilya,29.391666670042905,76.84999999989627,Manual,4.07,1.49,1996
HARYANA,MAHENDRAGARH,Dhancholi-DW,27.99333333034193,75.97138888980308,Manual,,,1996
HARYANA,SONIPAT,Garhwal,29.183333329586798,76.53888889030802,Manual,3.74,2.23,1996
HARYANA,SIRSA,Dhudianwali3(d),29.599999999548544,74.71666666954278,Manual,,,1996
HARYANA,SONIPAT,Bega Pz,29.154166669668573,77.11250000002585,Manual,,,1996
HARYANA,KURUKSHETRA,Bodhni (s),30.054166669606317,76.55833333035349,Manual,,,1996
HARYANA,YAMUNANAGAR,Betha,30.362499999748845,77.34027777955225,Manual,,,1996
HARYANA,KAITHAL,Kathana-Pz,29.54583332970991,76.39305556022384,Manual,,,1996
HARYANA,SONIPAT,Kharkhauda1,28.877777780004692,76.91250000001337,Manual,5.04,4.03,1996
HARYANA,GURGAON,Budehra-DW,28.46111111032652,76.98472221990698,Manual,,,1996
HARYANA,JHAJJAR,Gabhana,28.57083333003868,76.84166667043515,Manual,,,1996
HARYANA,KARNAL,Indri,29.88055556028119,77.06250000007896,Manual,,,1996
HARYANA,PANIPAT,Tajpur S,29.302222219735164,77.07499999964034,Manual,,,1996
HARYANA,JIND,Lawan,29.675000000362118,76.04583333003363,Manual,3.2,1.78,1996
HARYANA,KURUKSHETRA,Pehowa 3 (s),29.983333330392465,76.58055555963423,Manual,,,1996
HARYANA,KARNAL,Sitamarhi,29.783333329924154,76.76666667003657,Manual,6.54,6.24,1996
HARYANA,KURUKSHETRA,Thana (m),29.91999999988473,76.5013888901509,Manual,,,1996
HARYANA,JIND,Gurusar-DW,29.757222220356315,76.11027777960805,Manual,,,1996
HARYANA,PALWAL,Barauli1,28.077777780146803,77.43888888962269,Manual,,,1996
HARYANA,FARIDABAD,GEPIL VILLAGE PALI MOHABATABAD CRUSHER ZONE FARIDABAD,28.399433999831267,77.22237799978576,MANUAL,,,1996
HARYANA,ROHTAK,Giji-DW,28.818611110113554,76.77499999988173,Manual,,,1996
HARYANA,MEWAT,Pipaka,28.22638888973083,77.02916667022727,Manual,,,1996
HARYANA,REWARI,Khaliawas,28.208333330443693,76.74166667046613,Manual,,,1996
HARYANA,KARNAL,Ghiar-Pz,29.77805556023965,77.09694444024238,Manual,,,1996
HARYANA,KURUKSHETRA,Garhi Roran-PZ,29.963611109752716,76.73027777995064,Manual,,,1996
HARYANA,SIRSA,Sri Jiwan Nagar,29.537500000453008,74.74166666985047,Manual,,,1996
HARYANA,KARNAL,Kairiwali M,29.62222222013989,77.04166666966843,Manual,,,1996
HARYANA,KAITHAL,Balbehra,30.025000000423645,76.38333332949716,Manual,,,1996
HARYANA,JIND,Jind-Pz,29.321388889665478,76.30694444015091,Manual,,,1996
HARYANA,KARNAL,Darar,29.85416666957923,77.10000000052041,Manual,,,1996
HARYANA,YAMUNANAGAR,Damla-Pz,30.08333332987236,77.21666667046964,Manual,,,1996
HARYANA,REWARI,Gurkawas-DW,28.252777779850394,76.63111111051249,Manual,,,1996
HARYANA,KAITHAL,Manaspatti-Pz,29.829166670369712,76.32916667038495,Manual,,,1996
HARYANA,JIND,Pipalthe,29.758333329685378,76.10000000032461,Manual,,,1996
HARYANA,KARNAL,Sitaundi,29.56944443959949,76.99166666985295,Manual,,,1996
HARYANA,HISAR,Muklan,29.06944444002997,75.65833332986509,Manual,8.3,8.05,1996
HARYANA,KARNAL,Dupedi-DW,29.508333329658342,76.65888888988398,Manual,,,1996
HARYANA,KARNAL,Jalmana,29.59166667013632,76.7083333300195,Manual,8.99,10.99,1996
HARYANA,AMBALA,Bari Bassi-DW,30.462777780431882,77.07222221976086,Manual,,,1996
HARYANA,KARNAL,Jaisingh Pura-Dw,29.541666670410706,76.6311111095631,Manual,,,1996
HARYANA,KAITHAL,Barsana-Pz,29.715277780173988,76.59722222028911,Manual,,,1996
HARYANA,REWARI,Kahari,28.299999999761585,76.46249999953936,Manual,,12.85,1996
HARYANA,MEWAT,Chhapar,28.137500000382968,77.09861111036905,Manual,,,1996
HARYANA,KARNAL,Kheri Sharfali,29.558333329938325,76.54166666948443,Manual,,,1996
HARYANA,BHIWANI,Singhani,28.52777777986548,75.76111111007306,Manual,,,1996
HARYANA,JIND,Pillukhera-Pz,29.357222219757908,76.49333333050451,Manual,,,1996
HARYANA,FARIDABAD,Faridabad,28.42500000022481,77.30416666949634,Manual,,,1996
