STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,MAY (Level m),AUG (Level m),YEAR,geometry
HARYANA,BHIWANI,Miran,28.848611110090793,75.74166667016848,Manual,6.4,5.98,1996,POINT (75.74166667016848 28.84861111009079)
HARYANA,SIRSA,Kalanwali Mandi-Pz,29.83888889034492,74.98888888949179,Manual,,,1996,POINT (74.98888888949179 29.83888889034492)
HARYANA,SIRSA,Nadelkhera,29.53333332998065,75.28333333038407,Manual,,,1996,POINT (75.28333333038407 29.53333332998065)
HARYANA,AMBALA,Bichali Dhamouli-Pz,30.38333332985416,77.01666666983273,Manual,,,1996,POINT (77.01666666983273 30.38333332985416)
HARYANA,KURUKSHETRA,Ishaq,30.016666670011023,76.49166667024456,Manual,,,1996,POINT (76.49166667024456 30.01666667001102)
HARYANA,KAITHAL,Ratta Khera-Pz,29.729166669868807,75.8527777804983,Manual,,,1996,POINT (75.8527777804983 29.72916666986881)
HARYANA,SONIPAT,Nahara,28.875000000353204,77.00833333004536,Manual,,,1996,POINT (77.00833333004536 28.8750000003532)
HARYANA,PALWAL,Baghaula,28.220833329621914,77.30833333019515,Manual,4.39,3.11,1996,POINT (77.30833333019515 28.22083332962191)
HARYANA,KURUKSHETRA,Gumthala Garhu-PZ,29.936388890159375,76.5502777794941,Manual,,,1996,POINT (76.5502777794941 29.93638889015937)
HARYANA,KARNAL,Hathira-PZ,29.886111109741808,76.75249999988431,Manual,,,1996,POINT (76.75249999988431 29.88611110974181)
HARYANA,JIND,Dalamwala-DW,29.38722221980899,76.38305556029192,Manual,,,1996,POINT (76.38305556029192 29.38722221980899)
HARYANA,BHIWANI,Kakroli Hukmi1,28.570833330315534,75.9597222203962,Manual,,,1996,POINT (75.9597222203962 28.57083333031553)
HARYANA,JIND,Alewa Pz,29.480555559867835,76.44999999974135,Manual,,,1996,POINT (76.44999999974135 29.48055555986783)
HARYANA,KAITHAL,Pundri(d),29.777777779955482,76.57499999984663,Manual,9.02,9.96,1996,POINT (76.57499999984663 29.77777777995548)
HARYANA,SONIPAT,Pinana,29.06111111008312,76.83333332956208,Manual,4.55,3.36,1996,POINT (76.83333332956208 29.06111111008312)
HARYANA,HISAR,Agroha-Pz,29.324999999920372,75.62277777955012,Manual,,,1996,POINT (75.62277777955012 29.32499999992037)
HARYANA,SIRSA,Kairanwali-DW,29.399444439928214,75.20833332993715,Manual,,,1996,POINT (75.20833332993715 29.39944443992821)
HARYANA,YAMUNANAGAR,Chachrauli,30.24999999990973,77.33333333046706,Manual,,,1996,POINT (77.33333333046706 30.24999999990973)
HARYANA,HISAR,Narnaud S,29.116666669591226,75.5666666697067,Manual,,,1996,POINT (75.56666666970671 29.11666666959123)
HARYANA,JIND,Mandi Kalan-DW,29.57333333040297,76.31388889019517,Manual,,,1996,POINT (76.31388889019517 29.57333333040297)
HARYANA,SIRSA,Rupana,29.408333329912768,75.14444444015956,Manual,2.6,2.3,1996,POINT (75.14444444015956 29.40833332991277)
HARYANA,FARIDABAD,Ballabgarh,28.345833329906114,77.32083332988063,Manual,,,1996,POINT (77.32083332988063 28.34583332990611)
HARYANA,PANIPAT,K.prahladpur(s),29.293055560339127,76.979166670409,Manual,,,1996,POINT (76.979166670409 29.29305556033913)
HARYANA,JIND,Dhigana-DW,29.22361111020493,76.4433333298756,Manual,,,1996,POINT (76.4433333298756 29.22361111020493)
HARYANA,KARNAL,Gondhar,29.64833332974979,76.75472222008446,Manual,,,1996,POINT (76.75472222008446 29.64833332974979)
HARYANA,PANIPAT,Rakshera,29.188333329892107,77.10694444028421,Manual,,,1996,POINT (77.10694444028421 29.18833332989211)
HARYANA,HISAR,Barwala-Pz,29.38666666974781,75.91666666951329,Manual,,,1996,POINT (75.91666666951329 29.38666666974781)
HARYANA,REWARI,Dahina,28.29583332983325,76.38333333018231,Manual,,,1996,POINT (76.38333333018231 28.29583332983325)
HARYANA,JIND,Danaudakalan,29.522222219803467,76.0013888900119,Manual,2.23,2.91,1996,POINT (76.0013888900119 29.52222221980347)
HARYANA,GURGAON,Siwari-Pz,28.469444439805542,76.72361111005236,Manual,,,1996,POINT (76.72361111005236 28.46944443980554)
HARYANA,MEWAT,Malab,28.04166667002089,77.01111110984779,Manual,,1.21,1996,POINT (77.01111110984779 28.04166667002089)
HARYANA,PALWAL,Badraun,28.194444439760474,77.37777777993804,Manual,,,1996,POINT (77.37777777993804 28.19444443976047)
HARYANA,KARNAL,Badson- PZ,29.92055556044869,76.96722221975084,Manual,,,1996,POINT (76.96722221975084 29.92055556044869)
HARYANA,KARNAL,Mound M,29.5180555597337,76.54722221959085,Manual,10.21,,1996,POINT (76.54722221959085 29.5180555597337)
HARYANA,HISAR,Nahla,29.437500000000487,75.74166667025956,Manual,7.11,6.93,1996,POINT (75.74166667025956 29.43750000000049)
HARYANA,REWARI,Bawal1,28.07083333017813,76.57916667006249,Manual,,,1996,POINT (76.57916667006249 28.07083333017813)
HARYANA,PANIPAT,Lohari(shallow),29.358333330261694,76.83888889033481,Manual,,,1996,POINT (76.83888889033481 29.35833333026169)
HARYANA,JIND,Kakrod-DW,29.4558333296711,76.08722222027427,Manual,,,1996,POINT (76.08722222027427 29.4558333296711)
HARYANA,PANIPAT,Shimla Maulan S,29.456111109968447,76.98333332984947,Manual,,,1996,POINT (76.98333332984947 29.45611110996845)
HARYANA,KARNAL,KheriNaru-Pz-S,29.648611109829158,76.91361110983453,Manual,,,1996,POINT (76.91361110983453 29.64861110982916)
HARYANA,PALWAL,Pirgarhi- Pz,28.04444444011317,77.4722222204876,Manual,,,1996,POINT (77.47222222048759 28.04444444011317)
HARYANA,HISAR,Mangali-Pz,29.04166667040787,75.72222221987163,Manual,,,1996,POINT (75.72222221987163 29.04166667040787)
HARYANA,YAMUNANAGAR,Bahadurpur,30.3000000003784,77.52083332974019,Manual,18.02,13.46,1996,POINT (77.52083332974019 30.3000000003784)
HARYANA,KARNAL,Sangoi-Pz,29.750833330120592,77.00055556011282,Manual,,,1996,POINT (77.00055556011282 29.75083333012059)
HARYANA,SIRSA,Taruwana,29.825000000382207,75.0083333304378,Manual,8.37,8.07,1996,POINT (75.00833333043779 29.82500000038221)
HARYANA,FATEHABAD,Ratia,29.687499999964114,75.57777777979891,Manual,9.29,8.99,1996,POINT (75.57777777979891 29.68749999996411)
HARYANA,KURUKSHETRA,Morthala-PZ,30.057500000182966,76.91472221974622,Manual,,,1996,POINT (76.91472221974622 30.05750000018297)
HARYANA,PALWAL,Lankhara(shallow),28.034722220453702,77.1874999999814,Manual,,,1996,POINT (77.1874999999814 28.0347222204537)
HARYANA,MAHENDRAGARH,Datal-DW,27.86333332963029,76.11666666979917,Manual,,,1996,POINT (76.11666666979917 27.86333332963029)
HARYANA,JIND,Uchana Pz,29.469444440294062,76.18611111044302,Manual,,,1996,POINT (76.18611111044302 29.46944444029406)
HARYANA,YAMUNANAGAR,Ranjitpur,30.162500000031148,77.33333332987633,Manual,,4.79,1996,POINT (77.33333332987633 30.16250000003115)
HARYANA,HISAR,Behbalpur-Pz,29.283333329807967,75.78944443958305,Manual,,,1996,POINT (75.78944443958305 29.28333332980797)
HARYANA,HISAR,Kherijalab,29.32500000017011,76.08750000015345,Manual,4.4,4.1,1996,POINT (76.08750000015345 29.32500000017011)
HARYANA,FARIDABAD,Sanped-DW,28.28611111039961,77.34166666984018,Manual,,,1996,POINT (77.34166666984018 28.28611111039961)
HARYANA,SIRSA,Desu Malkana-DW,29.85611110966247,74.96666666962862,Manual,,,1996,POINT (74.96666666962862 29.85611110966247)
HARYANA,KAITHAL,Gulha 1(m),30.04027778021509,76.30000000030658,Manual,,,1996,POINT (76.30000000030658 30.04027778021509)
HARYANA,BHIWANI,Singhani-pz,28.533333329875283,75.80000000022638,Manual,,,1996,POINT (75.80000000022638 28.53333332987528)
HARYANA,FATEHABAD,Nagpur- Pz,29.65000000009427,75.42499999958923,Manual,,,1996,POINT (75.42499999958923 29.65000000009427)
HARYANA,SIRSA,Sureramithi,29.433333329972253,74.68750000019025,Manual,,,1996,POINT (74.68750000019025 29.43333332997225)
HARYANA,PANIPAT,Hathwala-Pz,29.226388889837903,77.11805556035705,Manual,,,1996,POINT (77.11805556035705 29.2263888898379)
HARYANA,JIND,Kathana,29.533333329912658,76.38749999964034,Manual,5.03,1.96,1996,POINT (76.38749999964034 29.53333332991266)
HARYANA,PANIPAT,Lohari (s),29.358333330261694,76.83888889033481,Manual,,,1996,POINT (76.83888889033481 29.35833333026169)
HARYANA,KARNAL,Balhera (shallow),29.474999999584053,77.0874999999617,Manual,,,1996,POINT (77.08749999996169 29.47499999958405)
HARYANA,MAHENDRAGARH,Khodana,28.408333329706842,76.12083333034576,Manual,18.81,20.39,1996,POINT (76.12083333034576 28.40833332970684)
HARYANA,HISAR,Datta-DW,29.266666670347657,75.99722222010409,Manual,,,1996,POINT (75.99722222010409 29.26666667034766)
